"Keywords","Domain","Last Update Date (data)","Downloads","U ID","Description","Creation Date","Visits","Name","ContactEmail","Owner","Category","Type","Frequency","Department","Derived View"
"community registry,neighborhood registry,community,neighborhood","data.austintexas.gov","09/06/2016 07:13:51 PM +0000","1242","u3yy-shmz","This is a monthly upload of the Community Registry. Neighborhood groups register with the City of Austin to receive notices of developments within their specified boundaries.","05/09/2013 09:21:54 PM +0000","13734","Austintexas.gov - Community Registry - Updated once a Month","","AustinGo","","table","Monthly","Public Information Office","false"
"google analytics,austingo,hits,pageviews,statistics,analytics","data.austintexas.gov","05/03/2013 04:24:42 PM +0000","361","959k-a8yh","Google Analytics for austintexas.gov","09/26/2012 05:23:15 PM +0000","1585","Google Analytics for www.austintexas.gov","","Divya Rathanlal","Government","table","Monthly","Communication and Technology Management","false"
"","data.austintexas.gov","04/24/2015 10:36:53 PM +0000","6","b88s-ffsg","A summary of Council Member Laura Morrison's resolutions.","04/16/2015 06:05:12 PM +0000","644","Resolutions Summary","","AustinGo","","data_lens","","","true"
"single member districts,council districts,10-1,10-one","data.austintexas.gov","","607","69pm-tzkv","The data used to create this map was externally created by a vendor on behalf of the Independent Citizens Redistricting Commission.; This map is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries.; This map has been published by the Communications and Technology Management Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","04/07/2014 02:40:27 PM +0000","10351","Single Member Council Districts","","Aubrey Drescher","Government","map","As Needed","Communication and Technology Management","false"
"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311","data.austintexas.gov","10/03/2016 02:50:23 AM +0000","4509","i26j-ai4z","Data collected from CSR production system. ; Data begins 01/03/2014 and is refreshed every half-hour; For more info: http://austintexas.gov/department/311/socrata","12/30/2013 07:11:01 PM +0000","8008","311 Unified Data","","Austin 311","Government","table","Daily","Austin Energy","false"
"aarc calendar","data.austintexas.gov","09/28/2016 08:56:46 PM +0000","79","yann-xf22","Data for the Asian American Resource Center web calendar","12/11/2013 09:44:22 PM +0000","9027","AARC Calendar - Monthly View","","AustinGo","Government","calendar","Monthly","Parks & Recreaction","true"
"municipal,court,violation","data.austintexas.gov","07/23/2014 10:00:40 PM +0000","1704","8jyt-x94k","This data is provided to help with analysis of various violations charged throughout the City of Austin. See Fiscal Year datasets for new the new format.; **Dataset removal in 2 months on September 1, 2014**","02/28/2012 10:02:38 PM +0000","7690","Municipal Court Caseload Information **Dataset removal in 2 months on September 1, 2014","","Luz Lozano","Public Safety","table","Monthly","Municipal Court","false"
"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments,city of austin","data.austintexas.gov","09/12/2016 12:07:59 PM +0000","839","8c6z-qnmj","Flat file data set of the data found in the Austin Finance Online eCheckbook application.  The data contained in this dataset is for informational purposes only and contains expenditure information for the City of Austin. Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002; therefore, the line amounts may not reflect the total check amount if certain Austin Energy invoices were included on the check.  Please visit the Austin Finance Online website for a searchable front end to this data set.","12/13/2011 09:37:13 PM +0000","5846","Austin Finance Online eCheckbook","","Chris","Financial","table","Weekly","Financial Services","false"
"solar,rebate","data.austintexas.gov","09/30/2016 06:28:57 PM +0000","54","45jc-cj6k","This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program.","08/21/2015 07:59:10 PM +0000","8406","Residential Solar Incentive Levels and Available Capacity","","Shannon Wisner","Utility","chart","As Needed","Austin Energy","true"
"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311","data.austintexas.gov","10/03/2016 02:50:23 AM +0000","569","wstj-t8me","Data collected from CSR production system. ; Data begins 01/03/2014 and is refreshed daily at 4:00am.","01/08/2014 02:56:31 PM +0000","6426","311 Public Data Mapped","","Austin 311","Government","map","Daily","Austin Energy","true"
"solar,rebate","data.austintexas.gov","09/30/2016 06:28:57 PM +0000","28","nmvn-mx4x","This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. The current incentive rate for small commercial installations is $0.08/kWh.","08/24/2015 06:45:18 PM +0000","7979","Small Commercial Solar Incentive Levels and Available Capacity","","Shannon Wisner","Utility","chart","As Needed","Austin Energy","true"
"solar,rebate","data.austintexas.gov","09/30/2016 06:28:57 PM +0000","25","gndx-5ejd","This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. The current incentive rate for medium commercial installations is $0.05/kWh.","08/24/2015 07:26:45 PM +0000","7937","Medium Commercial Solar Incentive Levels and Available Capacity","","Shannon Wisner","Utility","chart","As Needed","Austin Energy","true"
"solar,rebate","data.austintexas.gov","09/30/2016 06:28:57 PM +0000","25","nuxv-ka82","This data can be used to track the capacity and incentive levels available for Austin Energy's Solar Rebate Program. This view displays all current large commercial incentive rate information.","08/24/2015 07:48:55 PM +0000","7936","Large Commercial Solar Incentive Levels and Available Capacity","","Shannon Wisner","Utility","chart","As Needed","Austin Energy","true"
"civic,projects,go,general obligation,capital,improvement,visualization,information,communication,planning","data.austintexas.gov","10/02/2016 12:00:38 PM +0000","723","e8fp-i3ts","This dataset includes information for projects that appear on the City of Austin’s Capital Improvement Visualization Information and Communication (CIVIC) Map Viewer, www.austintexas.gov/GIS/CIVIC/.  These projects, also known as Capital Improvements Program (CIP) projects, implement the construction, replacement, or renovation of city assets that are useful to the community. Data is currently available for most CIP projects funded in full or in part by voter-approved bond programs from 2013, 2012, 2010, 2006, 2000, and 1998.   The dataset below is subject to change at any time, and does not represent a comprehensive list of capital improvement projects. For more information about the City of Austin’s Capital Improvement Program, please visit www.austintexas.gov/department/civic. The City of Austin has produced CIVIC, a web application to search Capital Improvement Projects, for informational purposes only. The data and information available at this web site is provided ""As is"", and ""As Available"" and without any warranties of any kind either express or implied. The City makes no warranty regarding the accuracy or completeness of this site and the information provided. By accessing or using CIVIC, you agree to these terms of use. The City of Austin may change the terms of use at any time at its sole discretion and without notice.”","10/17/2013 03:25:11 PM +0000","6797","CIVIC Projects List","","Ashley Parsons","Capital Planning","table","Daily","Public Works","false"
"water quality,eii,bacteria,coli,tmdl","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","78","tx8s-62r6","Filter of Water Quality Sampling Data that is specifically associated with evaluation bacteria threats for the four Austin Watersheds being evaluated as part of the TMDL process.  Expires 11/30/2013.","12/06/2012 07:44:27 PM +0000","568","Austin Total Maximum Daily Load Process Creek Data","","Rob","Environmental","filter/grouped","As Needed","Watershed Protection","true"
"purchasing,commodities,financial,goods,commodity,price,procurement,transparency,austin finance online,buying,procure,city of austin,texas,central texas,financial services,open data,austin","data.austintexas.gov","09/12/2016 02:24:01 PM +0000","1381","3ebq-e9iz","Purchase Order commodity line level detail for City of Austin Commodities/Goods purchases dating back to October 1st, 2009.  Each line includes the NIGP Commodity Code/COA Inventory Code, commodity description, quantity, unit of measure, unit price, total amount, referenced Master Agreement if applicable, the contract name, purchase order, award date, and vendor information.  The data contained in this data set is for informational purposes only.  Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002.","06/06/2013 09:38:53 PM +0000","5926","Purchase Order Quantity Price detail for Commodity/Goods procurements","","Chris","Financial","table","Monthly","Financial Services","false"
"","data.austintexas.gov","09/26/2016 09:04:22 PM +0000","709","x442-h34c","Hard copies of plans and drawings from the City of Austin, Austin Independent School District, Austin Community College, Travis County, University of Texas at Austin, University of Texas Systems, and Capital Metro available in SMBR's Plan Room.","02/08/2012 08:34:21 PM +0000","5272","Construction Plans in SMBR's Plan Room","","Blender","Business","table","Weekly","Small & Minority Business Rsrc","false"
"","data.austintexas.gov","08/19/2016 01:59:06 PM +0000","558","d6z4-s3ex","Please read and understand the following information.; ; Understanding the following conditions will allow you to get the most out of the data provided; •	Due to the methodological differences in data collection, different data sources may produce different results.; •	Our on-line database is continuously being updated. The data provided here represents a particular point in time.; Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today’s date back 18 months.; Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written; Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics; The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.","12/19/2011 06:01:58 AM +0000","4764","APD Crime Summary","","Cam Caldwell","Public Safety","chart","As Needed","","true"
"","data.austintexas.gov","03/07/2016 04:34:36 PM +0000","201","tv4x-8thz","This table lists firms who have been nominated by the City of Austin for the Texas Enterprise Zone Program.The Texas Enterprise Zone Program is a State of Texas incentive program and does not require a cash incentive from the City.","02/10/2014 10:29:51 PM +0000","4942","Economic Development Compliance: Texas Enterprise Zone Nominations","","Melissa Alvarado","","table","As Needed","Economic Development","false"
"","data.austintexas.gov","09/22/2016 02:02:45 PM +0000","174","7neq-k7nf","","02/10/2014 10:39:17 PM +0000","4766","Economic Development Compliance: Family Business Loans","","Melissa Alvarado","","table","As Needed","Economic Development","false"
"jurisdictions,etj,city,limits","data.austintexas.gov","","822","8dnv-8czf","This layer represents the jurisdiction and regulatory boundaries of the City of Austin.","03/05/2015 09:21:48 PM +0000","6654","City of Austin Jurisdictional Boundaries","","Bruce Bacia","Government","map","","","false"
"golf,golf course,locations,tee time,scorecard","data.austintexas.gov","06/05/2013 09:06:26 PM +0000","88","88dg-7xxd","A list of golf courses in Austin, their phone numbers, tee times and scorecards.","06/06/2013 01:55:34 PM +0000","3979","City of Austin Golf Courses - Map","","AustinGo","Fun","map","As Needed","Parks & Recreaction","true"
"short-term rental,census tract,rental,license","data.austintexas.gov","10/31/2013 07:01:15 PM +0000","294","hek3-kuva","This data demonstrates the number of short term rental licenses that have been issued in each census tract in Austin. There is a 3 percent cap on the number of short-term rentals permitted. The Licenses Remaining column shows how many licenses are available in that census tract.","04/05/2013 03:48:03 PM +0000","3877","Percent of Short-term Rentals Issued by Census Tract","","AustinGo","Permitting","table","As Needed","Code Compliance","false"
"animal,animal services","data.austintexas.gov","02/17/2012 04:07:32 PM +0000","634","wrwk-skv6","This data includes the intake date, type, subtype, condition, sex, age, breed, and coat/color pattern for every cat and dog impounded at the shelter for the year 2011. The purpose is to provide the general public with relevant information about the shelter's operations.","02/17/2012 04:06:54 PM +0000","3980","2011 Animal Intake Report (Cats and Dogs Exclusively)","","Austin Animal Center","","table","","Animal Services","false"
"","data.austintexas.gov","","837","hqbc-knkg","Learn more about Austin's Open Data initiative by clicking on the link to the right.","06/11/2013 05:38:25 PM +0000","3475","About Open Data","","AustinGo","","external dataset","As Needed","Public Information Office","false"
"austin recycles games,pounds of recyclables,district","data.austintexas.gov","05/17/2016 07:37:19 PM +0000","142","4hh5-fx4w","The Austin Recycles Games will calculate pounds of recyclables collected per household in each district for the months of December 2015 through March 2016.","02/11/2016 02:13:32 PM +0000","3149","Austin Recycles Games District Numbers","","julmisse","Government","table","Monthly","Austin Resource Recovery","false"
"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311","data.austintexas.gov","10/03/2016 02:50:23 AM +0000","822","xwdj-i9he","Data collected from CSR production system. ; Data begins 01/03/2014 and is refreshed daily at 4:00am.","01/08/2014 02:47:00 PM +0000","2705","Austin 311 Public Data","","Austin 311","Government","filter/grouped","Daily","Austin Energy","true"
"water,wastewater,statistics,key facts,gis,customers,capacity","data.austintexas.gov","05/05/2016 05:01:37 PM +0000","182","87qq-mkwq","Austin Water updates the following set of key facts and statistics quarterly based on customer and GIS data.","12/16/2015 08:23:58 PM +0000","1900","Austin Water Statistics","","Austin Water","Utility","table","Quarterly","Austin Water","false"
"resolution,morrison","data.austintexas.gov","04/01/2015 10:33:36 PM +0000","40","sd3a-yiib","A summary of Council Member Laura Morrison's resolutions.","04/15/2014 08:11:19 PM +0000","147","Resolutions Summary - Draft Chart","","AustinGo","","chart","Monthly","Mayor & Council","true"
"","data.austintexas.gov","08/19/2016 01:59:06 PM +0000","1935","4c6h-tv2y","Please read and understand the following information.; ; Understanding the following conditions will allow you to get the most out of the data provided; ???	Due to the methodological differences in data collection, different data sources may produce different results.; ???	Our on-line database is continuously being updated. The data provided here represents a particular point in time.; Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months.; Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written; Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics; The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.","12/16/2011 04:33:20 PM +0000","2636","APD Incident Extract 2010","","opendataatx","Public Safety","table","Daily","Austin Police ","false"
"cat,dog,pet,stray,austin animal center,no kill,data,open government","data.austintexas.gov","10/01/2016 09:02:09 PM +0000","1002","kz4x-q9k5","This map shows all stray cats and dogs that are currently listed in AAC's database for no longer than a week. Most will be located at AAC, but some will be held by citizens, which will be indicated on the ""At AAC"" column. AAC will post an image as soon as possible, which can be accessed by clicking the link in the ""Image Link"" column. Please also check http://www.austintexas.gov/department/lost-found-pet for more information.","06/24/2014 08:53:10 PM +0000","2651","Austin Animal Center Stray Map","","Austin Animal Center","Government","table","As Needed","Animal Services","false"
"","data.austintexas.gov","04/11/2016 07:02:10 PM +0000","175","qwjz-np8k","","12/10/2014 03:38:14 PM +0000","3326","Creative Content Incentive Program Agreements","","Melissa Alvarado","","table","As Needed","Economic Development","false"
"street name,address,active,reserved,reservation","data.austintexas.gov","10/02/2016 07:01:32 AM +0000","519","kumu-nbtd","Street Name Master List - contains all the reserved and active street names.","03/13/2015 03:52:40 PM +0000","3403","911 Addressing - Street Name Master List","","jjmoczygemba","Public Safety","table","Daily","Communication and Technology Management","false"
"lobbyist","data.austintexas.gov","09/26/2016 02:14:17 PM +0000","963","bqav-9x6a","City Code Chapter 4-8 requires that persons who are hired by individuals, corporations or groups to influence public officials or specific boards and commissions must: - Register as lobbyists;     - File quarterly activity reports;     - File amendment forms as needed;     - Pay appropriate fees;     - File a termination notice upon ceasing lobbyist activities; Click here to view current registered lobbyists and their clients; If you have questions, contact the Lobbyist Coordinator, 974-2210.","12/13/2011 02:55:21 PM +0000","2733","Lobbyists","","opendataatx","","table","","","false"
"contract,financial,construction contracts,professional services contracts,commodities contracts,sole source contracts,transparency,finance,purchase order,procurement,purchase,master agreement,service agreement,rotational,city of austin,financial services,austin,texas,central texas,purchasing office","data.austintexas.gov","09/12/2016 11:59:20 AM +0000","690","84ih-p28j","Information about City's authorized spending limit, contract lifetime (called inception-to-date) ordering and spending.  Contracts are visible only while active.  For the purposes of the Online Contract Catalog Flat File, a contract is a long-term (multi-year) contract for goods and services, and contracts for Construction activity. Within the City, these are referred to as Master Agreements and Central Purchase Contracts.","12/16/2011 09:58:36 PM +0000","2773","Contract Catalog","","Chris","Financial","table","Monthly","Financial Services","false"
"","data.austintexas.gov","","821","3k53-dsif","Don't see what you're looking for here? Request a data set.","05/09/2013 07:56:33 PM +0000","2411","Request a Data Set","","AustinGo","","external dataset","As Needed","Public Information Office","false"
"private,waste,recycling,hauler,garbage,trash,compost,organic,license,austin code","data.austintexas.gov","09/29/2016 04:34:11 PM +0000","389","qe89-agqj","Licensed Waste, Recycling, and/or Compost/Organic Haulers. The City of Austin does not endorse any particular company, rather, we provide these lists as an informational resource.","11/06/2014 07:42:33 PM +0000","3349","Haulers Licensed by City of Austin","","Mark Wensel","Public Safety","table","As Needed","Austin Code Compliance","false"
"bicycle,racks","data.austintexas.gov","05/04/2012 01:52:54 PM +0000","329","5tx2-pk4n","This is a list of bicycle racks installed and/or distributed by the City of Austin Bicycle Program.","05/04/2012 01:52:49 PM +0000","2545","Bicycle Rack Requests","","opendataatx","","table","As Needed","Public Works","false"
"sidewalk,public,works,sidewalks,network,pedestrian,transportation,mobility","data.austintexas.gov","","250","ea6n-pgcf","The Public Works Department Sidewalk Program is responsible for repairing and adding miles of sidewalks around the City of Austin. The Americans with Disabilities Act is a driving factor in making sure that the right-of-way along our streets is safe and accessible for all, but there also are projects being built for transportation and recreational use.; To learn more about Austin’s Sidewalk Program, visit austintexas.gov/sidewalks or drop us a line and share your feedback with us at the link below; http://austintexas.gov/online-form/feedback-sidewalk-master-plan-and-ada-transition-plan; This data was created by a consultant for the City of Austin Public Works Department. This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. This product has been produced for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","03/12/2015 02:29:10 PM +0000","2708","Public Works | Sidewalk Network","","Daniel Haverlah","Geodata","map","As Needed","Public Works","false"
"watersheds,austin,regulatory","data.austintexas.gov","12/11/2013 04:25:16 PM +0000","293","ec78-i9z5","This is the official list of watersheds for the Drainage Criteria Manual in the City of Austin and whether or not development in the watershed is able to take advantage of the Regional Stormwater Managment Program. More: http://austintexas.gov/department/regional-stormwater-management-program","02/15/2013 05:54:33 PM +0000","1185","Watersheds","","Rob","Government","table","As Needed","Watershed Protection","false"
"land base,basepoly,lots,planning cadastre","data.austintexas.gov","","1165","f5rm-df6x","This feature class consists of locations of legal lots, as well as parcels and tracts of land, in the City of Austin and surrounding counties; This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","03/12/2015 02:53:40 PM +0000","2721","Land Base","","Ben Vanderford","Geodata","map","","","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","100","ga9y-ypai","Data provided as part of the ""Find Your Watershed"" viewer on the Watershed Protection pages of http://www.austintexas.gov/","03/02/2012 10:44:34 PM +0000","1787","Find_Your_Watershed_EII_Current","","Rob","Environmental","filter/grouped","Quarterly","","true"
"","data.austintexas.gov","06/29/2016 05:24:30 PM +0000","327","pxe3-na7s","","02/10/2014 07:46:31 PM +0000","2299","Economic Development Compliance: Chapter 380 Agreement Basic Information","","Melissa Alvarado","","table","As Needed","Economic Development","false"
"public works,streets,pavement,infrastructure management,service plan,transportation,mobility","data.austintexas.gov","","74","3es2-p358","[Schedule for October 2015 to September 2016] Each year, the Public Works Street and Bridge Operations performs street preventative maintenance to over 700 street segments to help offset the cost of expensive road repairs.; Why do we do this? Having scheduled preventative maintenance will help prolong the life of the streets by protecting the surface from the effects of aging, cracking, deterioration, and water infiltration. Additionally, prolonging the life of our city streets by using these methods saves taxpayer money by intervening before full reconstruction is needed.; To learn more about Austin’s routine street maintenance, visit austintexas.gov/streetandbridge or call Street and Bridge Operations at 512.974.8777 and a representative will assist you.; This data was developed for the City of Austin Public Works Department by the Infrastructure Management Group, Street and Bridge Operations. This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. This product has been produced for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness; Below is the attached 2016 Service Plan Overview","11/20/2014 08:39:48 PM +0000","2092","2016 Street Service Plan | Routine Street Maintenance","","Daniel Haverlah","Geodata","map","Annually","Public Works","false"
"street,segment,address range,centerlines,transportation","data.austintexas.gov","","1574","t4fe-kr8c","Street names and address ranges for City of Austin and surrounding jurisdictions; This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","03/12/2015 02:19:27 PM +0000","2451","Street Segment","","Ben Vanderford","Geodata","map","","","false"
"building,footprints,2013","data.austintexas.gov","","1249","d9te-zi9f","Building footprints feature class is created to assist in City of Austin planning activities; This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes.; It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries.; This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference.; No warranty is made by the City of Austin regarding specific accuracy or completeness.","03/06/2015 05:50:58 PM +0000","2358","Building Footprints 2013","","Bruce Bacia","Government","map","Monthly","Communication and Technology Management","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","102","jbaf-xebm","Data provided as part of the ""Find Your Watershed"" viewer on the Watershed Protection pages of http://www.austintexas.gov/","03/02/2012 10:38:43 PM +0000","1309","Find_Your_Watershed_ALI_Current","","Rob","Environmental","filter/grouped","Quarterly","","true"
"cab,credit,access,business","data.austintexas.gov","10/17/2015 12:39:08 AM +0000","173","efz6-47ik","The data set may include active and inactive credit access businesses.","06/26/2013 02:57:48 PM +0000","1875","Credit Access Businesses Map","","opendataatx","Business","map","Monthly","Telecom & Regulatory Affairs","true"
"","data.austintexas.gov","","461","ymzc-9h69","US 2010 Census Interactive Population Search performed on the US Census website.","12/12/2011 02:53:49 PM +0000","1778","2010 Census Interactive Population Search","","opendataatx","","external dataset","As Needed","External Source","false"
"police,apd,stations,police stations","data.austintexas.gov","07/18/2012 01:27:56 PM +0000","141","fsgj-5xyt","Location information for Austin Police stations","07/18/2012 01:31:05 PM +0000","2218","Map of Austin Police Stations","","opendataatx","Public Safety","map","As Needed","Austin Police ","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","270","pyic-v8yf","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","08/18/2014 02:53:24 PM +0000","890","Barton Springs Salamanders DO and Flow","","Rob","Environmental","filter/grouped","Quarterly","","true"
"","data.austintexas.gov","05/12/2016 03:47:21 PM +0000","0","wywe-6mv3","","05/12/2016 03:47:21 PM +0000","751","Neighborhood Housing and Community Development","","jesse.rodriguez","","story","","","false"
