U ID,Derived View,Domain,Type,Name,Description,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Visits,Department,Owner,ContactEmail,Frequency
e8fp-i3ts,false,data.austintexas.gov,table,CIVIC Projects List,"This dataset includes information for projects that appear on the City of Austin’s Capital Improvement Visualization Information and Communication (CIVIC) Map Viewer, www.austintexas.gov/GIS/CIVIC/.  These projects, also known as Capital Improvements Program (CIP) projects, implement the construction, replacement, or renovation of city assets that are useful to the community. Data is currently available for most CIP projects funded in full or in part by voter-approved bond programs from 2013, 2012, 2010, 2006, 2000, and 1998.   The dataset below is subject to change at any time, and does not represent a comprehensive list of capital improvement projects. For more information about the City of Austin’s Capital Improvement Program, please visit www.austintexas.gov/department/civic. The City of Austin has produced CIVIC, a web application to search Capital Improvement Projects, for informational purposes only. The data and information available at this web site is provided ""As is"", and ""As Available"" and without any warranties of any kind either express or implied. The City makes no warranty regarding the accuracy or completeness of this site and the information provided. By accessing or using CIVIC, you agree to these terms of use. The City of Austin may change the terms of use at any time at its sole discretion and without notice.”",10/17/2013 03:25:11 PM +0000,10/02/2016 12:00:38 PM +0000,Capital Planning,"civic,projects,go,general obligation,capital,improvement,visualization,information,communication,planning",723,6797,Public Works,Ashley Parsons,,Daily
tx8s-62r6,true,data.austintexas.gov,filter/grouped,Austin Total Maximum Daily Load Process Creek Data,Filter of Water Quality Sampling Data that is specifically associated with evaluation bacteria threats for the four Austin Watersheds being evaluated as part of the TMDL process.  Expires 11/30/2013.,12/06/2012 07:44:27 PM +0000,09/08/2016 07:17:32 PM +0000,Environmental,"water quality,eii,bacteria,coli,tmdl",78,568,Watershed Protection,Rob,,As Needed
3ebq-e9iz,false,data.austintexas.gov,table,Purchase Order Quantity Price detail for Commodity/Goods procurements,"Purchase Order commodity line level detail for City of Austin Commodities/Goods purchases dating back to October 1st, 2009.  Each line includes the NIGP Commodity Code/COA Inventory Code, commodity description, quantity, unit of measure, unit price, total amount, referenced Master Agreement if applicable, the contract name, purchase order, award date, and vendor information.  The data contained in this data set is for informational purposes only.  Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002.",06/06/2013 09:38:53 PM +0000,09/12/2016 02:24:01 PM +0000,Financial,"purchasing,commodities,financial,goods,commodity,price,procurement,transparency,austin finance online,buying,procure,city of austin,texas,central texas,financial services,open data,austin",1381,5926,Financial Services,Chris,,Monthly
x442-h34c,false,data.austintexas.gov,table,Construction Plans in SMBR's Plan Room,"Hard copies of plans and drawings from the City of Austin, Austin Independent School District, Austin Community College, Travis County, University of Texas at Austin, University of Texas Systems, and Capital Metro available in SMBR's Plan Room.",02/08/2012 08:34:21 PM +0000,09/26/2016 09:04:22 PM +0000,Business,,709,5272,Small & Minority Business Rsrc,Blender,,Weekly
d6z4-s3ex,true,data.austintexas.gov,chart,APD Crime Summary,"Please read and understand the following information. 
 
Understanding the following conditions will allow you to get the most out of the data provided.
•	Due to the methodological differences in data collection, different data sources may produce different results. 
•	Our on-line database is continuously being updated. The data provided here represents a particular point in time. 
Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today’s date back 18 months. 
Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written.
Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics.
The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.",12/19/2011 06:01:58 AM +0000,08/19/2016 01:59:06 PM +0000,Public Safety,,558,4764,,Cam Caldwell,,As Needed
tv4x-8thz,false,data.austintexas.gov,table,Economic Development Compliance: Texas Enterprise Zone Nominations,This table lists firms who have been nominated by the City of Austin for the Texas Enterprise Zone Program.The Texas Enterprise Zone Program is a State of Texas incentive program and does not require a cash incentive from the City.,02/10/2014 10:29:51 PM +0000,03/07/2016 04:34:36 PM +0000,,,201,4942,Economic Development,Melissa Alvarado,,As Needed
7neq-k7nf,false,data.austintexas.gov,table,Economic Development Compliance: Family Business Loans,,02/10/2014 10:39:17 PM +0000,09/22/2016 02:02:45 PM +0000,,,174,4766,Economic Development,Melissa Alvarado,,As Needed
8dnv-8czf,false,data.austintexas.gov,map,City of Austin Jurisdictional Boundaries,This layer represents the jurisdiction and regulatory boundaries of the City of Austin.,03/05/2015 09:21:48 PM +0000,,Government,"jurisdictions,etj,city,limits",822,6654,,Bruce Bacia,,
88dg-7xxd,true,data.austintexas.gov,map,City of Austin Golf Courses - Map,"A list of golf courses in Austin, their phone numbers, tee times and scorecards.",06/06/2013 01:55:34 PM +0000,06/05/2013 09:06:26 PM +0000,Fun,"golf,golf course,locations,tee time,scorecard",88,3979,Parks & Recreaction,AustinGo,,As Needed
hek3-kuva,false,data.austintexas.gov,table,Percent of Short-term Rentals Issued by Census Tract,This data demonstrates the number of short term rental licenses that have been issued in each census tract in Austin. There is a 3 percent cap on the number of short-term rentals permitted. The Licenses Remaining column shows how many licenses are available in that census tract.,04/05/2013 03:48:03 PM +0000,10/31/2013 07:01:15 PM +0000,Permitting,"short-term rental,census tract,rental,license",294,3877,Code Compliance,AustinGo,,As Needed
wrwk-skv6,false,data.austintexas.gov,table,2011 Animal Intake Report (Cats and Dogs Exclusively),"This data includes the intake date, type, subtype, condition, sex, age, breed, and coat/color pattern for every cat and dog impounded at the shelter for the year 2011. The purpose is to provide the general public with relevant information about the shelter's operations.",02/17/2012 04:06:54 PM +0000,02/17/2012 04:07:32 PM +0000,,"animal,animal services",634,3980,Animal Services,Austin Animal Center,,
hqbc-knkg,false,data.austintexas.gov,external dataset,About Open Data,Learn more about Austin's Open Data initiative by clicking on the link to the right.,06/11/2013 05:38:25 PM +0000,,,,837,3475,Public Information Office,AustinGo,,As Needed
4hh5-fx4w,false,data.austintexas.gov,table,Austin Recycles Games District Numbers,The Austin Recycles Games will calculate pounds of recyclables collected per household in each district for the months of December 2015 through March 2016.,02/11/2016 02:13:32 PM +0000,05/17/2016 07:37:19 PM +0000,Government,"austin recycles games,pounds of recyclables,district",142,3149,Austin Resource Recovery,julmisse,,Monthly
xwdj-i9he,true,data.austintexas.gov,filter/grouped,Austin 311 Public Data,"Data collected from CSR production system.  
Data begins 01/03/2014 and is refreshed daily at 4:00am.",01/08/2014 02:47:00 PM +0000,10/03/2016 02:50:23 AM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",822,2705,Austin Energy,Austin 311,,Daily
87qq-mkwq,false,data.austintexas.gov,table,Austin Water Statistics,Austin Water updates the following set of key facts and statistics quarterly based on customer and GIS data.,12/16/2015 08:23:58 PM +0000,05/05/2016 05:01:37 PM +0000,Utility,"water,wastewater,statistics,key facts,gis,customers,capacity",182,1900,Austin Water,Austin Water,,Quarterly
sd3a-yiib,true,data.austintexas.gov,chart,Resolutions Summary - Draft Chart,A summary of Council Member Laura Morrison's resolutions.,04/15/2014 08:11:19 PM +0000,04/01/2015 10:33:36 PM +0000,,"resolution,morrison",40,147,Mayor & Council,AustinGo,,Monthly
4c6h-tv2y,false,data.austintexas.gov,table,APD Incident Extract 2010,"Please read and understand the following information. 
 
Understanding the following conditions will allow you to get the most out of the data provided.
???	Due to the methodological differences in data collection, different data sources may produce different results. 
???	Our on-line database is continuously being updated. The data provided here represents a particular point in time. 
Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months. 
Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written.
Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics.
The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.",12/16/2011 04:33:20 PM +0000,08/19/2016 01:59:06 PM +0000,Public Safety,,1935,2636,Austin Police ,opendataatx,,Daily
kz4x-q9k5,false,data.austintexas.gov,table,Austin Animal Center Stray Map,"This map shows all stray cats and dogs that are currently listed in AAC's database for no longer than a week. Most will be located at AAC, but some will be held by citizens, which will be indicated on the ""At AAC"" column. AAC will post an image as soon as possible, which can be accessed by clicking the link in the ""Image Link"" column. Please also check http://www.austintexas.gov/department/lost-found-pet for more information.",06/24/2014 08:53:10 PM +0000,10/01/2016 09:02:09 PM +0000,Government,"cat,dog,pet,stray,austin animal center,no kill,data,open government",1002,2651,Animal Services,Austin Animal Center,,As Needed
qwjz-np8k,false,data.austintexas.gov,table,Creative Content Incentive Program Agreements,,12/10/2014 03:38:14 PM +0000,04/11/2016 07:02:10 PM +0000,,,175,3326,Economic Development,Melissa Alvarado,,As Needed
kumu-nbtd,false,data.austintexas.gov,table,911 Addressing - Street Name Master List,Street Name Master List - contains all the reserved and active street names.,03/13/2015 03:52:40 PM +0000,10/02/2016 07:01:32 AM +0000,Public Safety,"street name,address,active,reserved,reservation",519,3403,Communication and Technology Management,jjmoczygemba,,Daily
bqav-9x6a,false,data.austintexas.gov,table,Lobbyists,"City Code Chapter 4-8 requires that persons who are hired by individuals, corporations or groups to influence public officials or specific boards and commissions must:

    - Register as lobbyists
    - File quarterly activity reports
    - File amendment forms as needed
    - Pay appropriate fees 
    - File a termination notice upon ceasing lobbyist activities.

Click here to view current registered lobbyists and their clients.
If you have questions, contact the Lobbyist Coordinator, 974-2210.",12/13/2011 02:55:21 PM +0000,09/26/2016 02:14:17 PM +0000,,lobbyist,963,2733,,opendataatx,,
84ih-p28j,false,data.austintexas.gov,table,Contract Catalog,"Information about City's authorized spending limit, contract lifetime (called inception-to-date) ordering and spending.  Contracts are visible only while active.  For the purposes of the Online Contract Catalog Flat File, a contract is a long-term (multi-year) contract for goods and services, and contracts for Construction activity. Within the City, these are referred to as Master Agreements and Central Purchase Contracts.",12/16/2011 09:58:36 PM +0000,09/12/2016 11:59:20 AM +0000,Financial,"contract,financial,construction contracts,professional services contracts,commodities contracts,sole source contracts,transparency,finance,purchase order,procurement,purchase,master agreement,service agreement,rotational,city of austin,financial services,austin,texas,central texas,purchasing office",690,2773,Financial Services,Chris,,Monthly
3k53-dsif,false,data.austintexas.gov,external dataset,Request a Data Set,Don't see what you're looking for here? Request a data set.,05/09/2013 07:56:33 PM +0000,,,,821,2411,Public Information Office,AustinGo,,As Needed
qe89-agqj,false,data.austintexas.gov,table,Haulers Licensed by City of Austin,"Licensed Waste, Recycling, and/or Compost/Organic Haulers. The City of Austin does not endorse any particular company, rather, we provide these lists as an informational resource.",11/06/2014 07:42:33 PM +0000,09/29/2016 04:34:11 PM +0000,Public Safety,"private,waste,recycling,hauler,garbage,trash,compost,organic,license,austin code",389,3349,Austin Code Compliance,Mark Wensel,,As Needed
5tx2-pk4n,false,data.austintexas.gov,table,Bicycle Rack Requests,This is a list of bicycle racks installed and/or distributed by the City of Austin Bicycle Program.,05/04/2012 01:52:49 PM +0000,05/04/2012 01:52:54 PM +0000,,"bicycle,racks",329,2545,Public Works,opendataatx,,As Needed
'r'
'a'
http://austintexas.gov/online-form/feedback-sidewalk-master-plan-and-ada-transition-plan

This data was created by a consultant for the City of Austin Public Works Department. This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. This product has been produced for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",03/12/2015 02:29:10 PM +0000,,Geodata,"sidewalk,public,works,sidewalks,network,pedestrian,transportation,mobility",250,2708,Public Works,Daniel Haverlah,,As Needed
ec78-i9z5,false,data.austintexas.gov,table,Watersheds,This is the official list of watersheds for the Drainage Criteria Manual in the City of Austin and whether or not development in the watershed is able to take advantage of the Regional Stormwater Managment Program. More: http://austintexas.gov/department/regional-stormwater-management-program,02/15/2013 05:54:33 PM +0000,12/11/2013 04:25:16 PM +0000,Government,"watersheds,austin,regulatory",293,1185,Watershed Protection,Rob,,As Needed
f5rm-df6x,false,data.austintexas.gov,map,Land Base,"This feature class consists of locations of legal lots, as well as parcels and tracts of land, in the City of Austin and surrounding counties.
This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",03/12/2015 02:53:40 PM +0000,,Geodata,"land base,basepoly,lots,planning cadastre",1165,2721,,Ben Vanderford,,
ga9y-ypai,true,data.austintexas.gov,filter/grouped,Find_Your_Watershed_EII_Current,"Data provided as part of the ""Find Your Watershed"" viewer on the Watershed Protection pages of http://www.austintexas.gov/",03/02/2012 10:44:34 PM +0000,09/08/2016 07:17:32 PM +0000,Environmental,"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli",100,1787,,Rob,,Quarterly
pxe3-na7s,false,data.austintexas.gov,table,Economic Development Compliance: Chapter 380 Agreement Basic Information,,02/10/2014 07:46:31 PM +0000,06/29/2016 05:24:30 PM +0000,,,327,2299,Economic Development,Melissa Alvarado,,As Needed
'o'
' '
'c'
' '

't'
Below is the attached 2016 Service Plan Overview",11/20/2014 08:39:48 PM +0000,,Geodata,"public works,streets,pavement,infrastructure management,service plan,transportation,mobility",74,2092,Public Works,Daniel Haverlah,,Annually
t4fe-kr8c,false,data.austintexas.gov,map,Street Segment,"Street names and address ranges for City of Austin and surrounding jurisdictions.
This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",03/12/2015 02:19:27 PM +0000,,Geodata,"street,segment,address range,centerlines,transportation",1574,2451,,Ben Vanderford,,
d9te-zi9f,false,data.austintexas.gov,map,Building Footprints 2013,"Building footprints feature class is created to assist in City of Austin planning activities.
This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. 
It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. 
This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. 
No warranty is made by the City of Austin regarding specific accuracy or completeness.",03/06/2015 05:50:58 PM +0000,,Government,"building,footprints,2013",1249,2358,Communication and Technology Management,Bruce Bacia,,Monthly
jbaf-xebm,true,data.austintexas.gov,filter/grouped,Find_Your_Watershed_ALI_Current,"Data provided as part of the ""Find Your Watershed"" viewer on the Watershed Protection pages of http://www.austintexas.gov/",03/02/2012 10:38:43 PM +0000,09/08/2016 07:17:32 PM +0000,Environmental,"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli",102,1309,,Rob,,Quarterly
efz6-47ik,true,data.austintexas.gov,map,Credit Access Businesses Map,The data set may include active and inactive credit access businesses.,06/26/2013 02:57:48 PM +0000,10/17/2015 12:39:08 AM +0000,Business,"cab,credit,access,business",173,1875,Telecom & Regulatory Affairs,opendataatx,,Monthly
ymzc-9h69,false,data.austintexas.gov,external dataset,2010 Census Interactive Population Search,US 2010 Census Interactive Population Search performed on the US Census website.,12/12/2011 02:53:49 PM +0000,,,,461,1778,External Source,opendataatx,,As Needed
fsgj-5xyt,true,data.austintexas.gov,map,Map of Austin Police Stations,Location information for Austin Police stations,07/18/2012 01:31:05 PM +0000,07/18/2012 01:27:56 PM +0000,Public Safety,"police,apd,stations,police stations",141,2218,Austin Police ,opendataatx,,As Needed
pyic-v8yf,true,data.austintexas.gov,filter/grouped,Barton Springs Salamanders DO and Flow,"Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.",08/18/2014 02:53:24 PM +0000,09/08/2016 07:17:32 PM +0000,Environmental,"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli",270,890,,Rob,,Quarterly
wywe-6mv3,false,data.austintexas.gov,story,Neighborhood Housing and Community Development,,05/12/2016 03:47:21 PM +0000,05/12/2016 03:47:21 PM +0000,,,0,751,,jesse.rodriguez,,
' '
'n'
Personnel savings is budgeted to account for the likely savings in personnel costs generated through attrition. However, the savings is realized in the expense categories regular wages—full-time, regular wages—part-time and regular wages—civil service. Therefore, the actual expenditures in the personnel savings expense category will always be zero.",06/13/2013 06:29:22 PM +0000,09/12/2016 11:59:36 AM +0000,Financial,"budget,operating,proposed,actual,expenditures,finance,financial,reports,financial services,budget office,city of austin,austin,austin finance online,raw budget data,budget documents,controller",435,2128,Financial Services,Chris,,Quarterly
hjeh-idye,false,data.austintexas.gov,table,Austin Animal Center FY15 Intakes *Updated Hourly*,all animal intakes for Fiscal Year 2015 (October 1st 2014 to September 30th 2015),01/14/2015 05:06:18 PM +0000,12/04/2015 06:02:29 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",691,2021,Animal Services,Austin Animal Center,,As Needed
gr59-ids7,false,data.austintexas.gov,table,APD Incident Extract 2011,"Please read and understand the following information. 
 
Understanding the following conditions will allow you to get the most out of the data provided.
???	Due to the methodological differences in data collection, different data sources may produce different results. 
???	Our on-line database is continuously being updated. The data provided here represents a particular point in time. 
Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months. 
Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written.
Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics.
The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.",04/30/2012 02:43:59 PM +0000,08/19/2016 01:47:40 PM +0000,Public Safety,,1564,1755,Austin Police ,opendataatx,,Daily
