URL,U ID,Public,Derived View,Parent UID,Domain,Type,Name,Visits,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version UID,Data Provided By,Source Link,Department,Dataset Page,routing_approval,api_endpoint,Frequency,capabilities,test,definitionExpression,maxScale,htmlPopupType,copyrightText,geometryType,hasAttachments,Publishing Department,defaultVisibility,id,Spatial Reference wkid,Source,displayField,minScale,currentVersion,Agency,Category Tile,Tags,Microsite,owner_uid,View Moderation Status,provenance
https://data.austintexas.gov/d/p6pb-jvsm,p6pb-jvsm,true,false,,data.austintexas.gov,dataset,Economic Development Compliance: Chapter 380 Individual Payments and Compliance Reports,1299,02/10/2014 08:57:00 PM +0000,12/07/2016 04:39:00 PM +0000,,,391,Melissa Alvarado,,,published,,,,,Economic Development,,,https://data.austintexas.gov/resource/p6pb-jvsm.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/84ih-p28j,84ih-p28j,true,false,,data.austintexas.gov,dataset,Contract Catalog,3063,12/16/2011 09:58:00 PM +0000,02/20/2017 12:59:00 PM +0000,Financial,"contract,financial,construction contracts,professional services contracts,commodities contracts,sole source contracts,transparency,finance,purchase order,procurement,purchase,master agreement,service agreement,rotational,city of austin,financial services,austin,texas,central texas,purchasing office",898,Chris,,,published,,,City of Austin,https://www.austintexas.gov/financeonline/contract_catalog/index.cfm,Financial Services,,,https://data.austintexas.gov/resource/84ih-p28j.json,Monthly,,,,,,,,,,,,,,,,,,,,,t5rb-t58r,Not in Queue,official
https://data.austintexas.gov/d/3k53-dsif,3k53-dsif,true,false,,data.austintexas.gov,href,Request a Data Set,2446,05/09/2013 07:56:00 PM +0000,06/11/2013 08:14:00 PM +0000,,,821,AustinGo,,,published,,,,,Public Information Office,,,https://data.austintexas.gov/resource/3k53-dsif.json,As Needed,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/4i8t-nckg,4i8t-nckg,false,false,,data.austintexas.gov,dataset,City of Austin Licensed Private Waste Haulers,2304,02/15/2013 07:43:00 PM +0000,10/01/2015 04:24:00 PM +0000,Public Safety,"private,waste,hauler,garbage,trash,recycling,license",126,AustinGo,,Public Domain,published,,,City of Austin,http://www.austintexas.gov,Austin Code Compliance,,,https://data.austintexas.gov/resource/4i8t-nckg.json,As Needed,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/qe89-agqj,qe89-agqj,true,false,,data.austintexas.gov,dataset,Haulers Licensed by City of Austin,4230,11/06/2014 07:42:00 PM +0000,02/21/2017 06:26:00 PM +0000,Public Safety,"private,waste,recycling,hauler,garbage,trash,compost,organic,license,austin code",640,Mark Wensel,codecommunications@austintexas.gov,Public Domain,published,,,"City of Austin, Code Department",http://austintexas.gov/code,Austin Code Compliance,,,https://data.austintexas.gov/resource/qe89-agqj.json,As Needed,,,,,,,,,,,,,,,,,,,,,vesy-2din,Not in Queue,official
https://data.austintexas.gov/d/5tx2-pk4n,5tx2-pk4n,true,false,,data.austintexas.gov,dataset,Bicycle Rack Requests,2626,05/04/2012 01:52:00 PM +0000,05/04/2012 01:52:00 PM +0000,,"bicycle,racks",448,opendataatx,Nadia.Barrera@austintexas.gov,,published,,,City of Austin,,Public Works,,,https://data.austintexas.gov/resource/5tx2-pk4n.json,As Needed,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/ea6n-pgcf,ea6n-pgcf,true,false,,data.austintexas.gov,gis map,Public Works | Sidewalk Network,3071,03/12/2015 02:29:00 PM +0000,08/23/2016 07:34:00 PM +0000,Geodata,"sidewalk,public,works,sidewalks,network,pedestrian,transportation,mobility",470,Daniel Haverlah,,Public Domain,published,,,Communications and Technology Department,,Public Works,,,https://data.austintexas.gov/resource/ea6n-pgcf.json,As Needed,,,,,,,,,,,,,,,,,,,,,y4zf-uynq,Not in Queue,official
https://data.austintexas.gov/d/f5rm-df6x,f5rm-df6x,true,false,,data.austintexas.gov,gis map,Land Base,3482,03/12/2015 02:53:00 PM +0000,02/03/2017 08:10:00 PM +0000,Geodata,"land base,basepoly,lots,planning cadastre",1478,Ben Vanderford,,Public Domain,published,,,Communications and Technology Management/9-1-1 Addressing,,,,,https://data.austintexas.gov/resource/f5rm-df6x.json,,,,,,,,,,,,,,,,,,,,,,nhfc-9rge,Not in Queue,official
https://data.austintexas.gov/d/pxe3-na7s,pxe3-na7s,true,false,,data.austintexas.gov,dataset,Economic Development Compliance: Chapter 380 Agreement Basic Information,2534,02/10/2014 07:46:00 PM +0000,12/05/2016 06:37:00 PM +0000,,,468,Melissa Alvarado,,,published,,,,,Economic Development,,,https://data.austintexas.gov/resource/pxe3-na7s.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/atrx-cf82,atrx-cf82,true,false,,data.austintexas.gov,dataset,February 2014 Austin Animal Center Total Live Outcome Rates,1144,03/04/2014 04:37:00 PM +0000,03/04/2014 04:38:00 PM +0000,Government,"cat,dog,austin animal center,data,open government",293,Austin Animal Center,,,published,,,Austin Animal Center,http://austinanimalcenter.org,Animal Services,,,https://data.austintexas.gov/resource/atrx-cf82.json,Monthly,,,,,,,,,,,,,,,,,,,,,p3dk-w2wy,Not in Queue,official
https://data.austintexas.gov/d/fc48-h8gp,fc48-h8gp,true,false,,data.austintexas.gov,dataset,Trust Fund Documents,1467,03/26/2015 01:57:00 PM +0000,03/04/2016 10:04:00 PM +0000,Government,,457,Melissa Alvarado,kyle.brandon@austintexas.gov,,published,,,City of Austin Economic Development Department,http://www.austintexas.gov/edd,Economic Development,,,https://data.austintexas.gov/resource/fc48-h8gp.json,As Needed,,,,,,,,,,,,,,,,,,,,,kzrv-d9p3,Not in Queue,official
https://data.austintexas.gov/d/3es2-p358,3es2-p358,true,false,,data.austintexas.gov,gis map,2016 Street Service Plan | Routine Street Maintenance,2173,11/20/2014 08:39:00 PM +0000,08/23/2016 07:32:00 PM +0000,Geodata,"public works,streets,pavement,infrastructure management,service plan,transportation,mobility",151,Daniel Haverlah,,Public Domain,published,,,Public Works,,Public Works,,,https://data.austintexas.gov/resource/3es2-p358.json,Annually,,,,,,,,,,,,,,,,,,,,,y4zf-uynq,Not in Queue,official
https://data.austintexas.gov/d/t4fe-kr8c,t4fe-kr8c,true,false,,data.austintexas.gov,gis map,Street Segment,3193,03/12/2015 02:19:00 PM +0000,02/03/2017 08:04:00 PM +0000,Geodata,"street,segment,address range,centerlines,transportation",2027,Ben Vanderford,,Public Domain,published,,,Communications and Technology Management/9-1-1 Addressing,,,,,https://data.austintexas.gov/resource/t4fe-kr8c.json,,,,,,,,,,,,,,,,,,,,,,nhfc-9rge,Not in Queue,official
https://data.austintexas.gov/d/d9te-zi9f,d9te-zi9f,true,false,,data.austintexas.gov,gis map,Building Footprints 2013,3142,03/06/2015 05:50:00 PM +0000,08/26/2016 11:43:00 PM +0000,Government,"building,footprints,2013",1772,Bruce Bacia,geospatialdatadev@austintexas.gov,Public Domain,published,,,Communications and Technology Management,,Communication and Technology Management,,,https://data.austintexas.gov/resource/d9te-zi9f.json,Monthly,,,,,,,,,,,,,,,,,,,,,hsxc-89wg,Not in Queue,official
https://data.austintexas.gov/d/ymzc-9h69,ymzc-9h69,true,false,,data.austintexas.gov,href,2010 Census Interactive Population Search,1838,12/12/2011 02:53:00 PM +0000,08/25/2015 10:46:00 PM +0000,,,461,opendataatx,,,published,,,United States Census Bureau,http://2010.census.gov/2010census/index.php,External Source,,,https://data.austintexas.gov/resource/ymzc-9h69.json,As Needed,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/g5k8-8sud,g5k8-8sud,true,false,,data.austintexas.gov,dataset,Program Budget Operating Budget Vs Expense Raw Data,2433,06/13/2013 06:29:00 PM +0000,02/20/2017 12:59:00 PM +0000,Financial,"budget,operating,proposed,actual,expenditures,finance,financial,reports,financial services,budget office,city of austin,austin,austin finance online,raw budget data,budget documents,controller",573,Chris,,Public Domain,published,,,Communication and Technology Management,,Financial Services,,,https://data.austintexas.gov/resource/g5k8-8sud.json,Quarterly,,,,,,,,,,,,,,,,,,,,,t5rb-t58r,Not in Queue,official
https://data.austintexas.gov/d/hjeh-idye,hjeh-idye,true,false,,data.austintexas.gov,dataset,Austin Animal Center FY15 Intakes *Updated Hourly*,2264,01/14/2015 05:06:00 PM +0000,12/04/2015 06:02:00 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",819,Austin Animal Center,,Public Domain,published,,,Austin Animal Center,http://austinanimalcenter.org,Animal Services,,,https://data.austintexas.gov/resource/hjeh-idye.json,As Needed,,,,,,,,,,,,,,,,,,,,,p3dk-w2wy,Not in Queue,official
https://data.austintexas.gov/d/ec78-i9z5,ec78-i9z5,true,false,,data.austintexas.gov,dataset,Watersheds,1334,02/15/2013 05:54:00 PM +0000,12/11/2013 04:25:00 PM +0000,Government,"watersheds,austin,regulatory",433,Rob,robert.clayton@austintexas.gov,Public Domain,published,,,Watershed Protection Department Environmental Resource Management,http://www.austintexas.gov/department/watershed-protection,Watershed Protection,,,https://data.austintexas.gov/resource/ec78-i9z5.json,As Needed,,,,,,,,,,,,,,,,,,,,,buxt-jupg,Not in Queue,official
https://data.austintexas.gov/d/fkym-pzxv,fkym-pzxv,true,false,,data.austintexas.gov,story,Power Supply Cost Average,384,05/06/2016 02:05:00 PM +0000,05/06/2016 02:05:00 PM +0000,,,0,jesse.rodriguez,,,published,,,,,,,,https://data.austintexas.gov/resource/fkym-pzxv.json,,,,,,,,,,,,,,,,,,,,,,xyvj-5d85,Not in Queue,official
https://data.austintexas.gov/d/gr59-ids7,gr59-ids7,true,false,,data.austintexas.gov,dataset,APD Incident Extract 2011,1857,04/30/2012 02:43:00 PM +0000,08/19/2016 01:47:00 PM +0000,Public Safety,,1680,opendataatx,,,published,,,City of Austin,,Austin Police ,,,https://data.austintexas.gov/resource/gr59-ids7.json,Daily,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/64cq-wf5u,64cq-wf5u,true,false,,data.austintexas.gov,dataset,Austin Fire Stations,1621,03/20/2012 03:37:00 PM +0000,03/20/2012 03:37:00 PM +0000,Public Safety,"fire,afd,stations,fire stations",555,opendataatx,,,published,,,City of Austin,,Austin Fire,,,https://data.austintexas.gov/resource/64cq-wf5u.json,As Needed,,,,,,,,,,,,,,,,,,,,,99uc-9byy,Not in Queue,official
https://data.austintexas.gov/d/5rzy-nm5e,5rzy-nm5e,true,false,,data.austintexas.gov,gis map,Zoning,2704,03/10/2015 05:32:00 PM +0000,02/03/2017 08:14:00 PM +0000,Geodata,"zoning,planning cadastre,land use",1245,Ben Vanderford,,Public Domain,published,,,Planning and Zoning,,,,,https://data.austintexas.gov/resource/5rzy-nm5e.json,,,,,,,,,,,,,,,,,,,,,,nhfc-9rge,Not in Queue,official
https://data.austintexas.gov/d/959k-a8yh,959k-a8yh,true,false,,data.austintexas.gov,dataset,Google Analytics for www.austintexas.gov,1743,09/26/2012 05:23:00 PM +0000,05/03/2013 04:24:00 PM +0000,Government,"google analytics,austingo,hits,pageviews,statistics,analytics",534,Divya Rathanlal,divya.rathanlal@austintexas.gov,,published,,,,,Communication and Technology Management,,,https://data.austintexas.gov/resource/959k-a8yh.json,Monthly,,,,,,,,,,,,,,,,,,,,,jkqa-55xv,Not in Queue,official
https://data.austintexas.gov/d/dgbw-ce4x,dgbw-ce4x,true,false,,data.austintexas.gov,dataset,2015 Annual Performance Report Key Indicators,509,04/22/2016 09:59:00 PM +0000,05/18/2016 02:17:00 PM +0000,Government,"indicator,measure,annual performance report",226,Peter Feighner,shannon.szymczak@austintexas.gov,,published,,,,,Financial Services,,,https://data.austintexas.gov/resource/dgbw-ce4x.json,Annually,,,,,,,,,,,,,,,,,,,,,gzfz-ijhr,Not in Queue,official
https://data.austintexas.gov/d/99qw-4ixs,99qw-4ixs,true,false,,data.austintexas.gov,gis map,City Of Austin Parks,2234,04/03/2015 04:57:00 PM +0000,08/26/2016 11:40:00 PM +0000,,"parks,austin",1318,Bruce Bacia,CTMGeospatialDataDev@austintexas.gov,Public Domain,published,,,City of Austin Parks Department,,Communication and Technology Management,,,https://data.austintexas.gov/resource/99qw-4ixs.json,As Needed,,,,,,,,,,,,,,,,,,,,,hsxc-89wg,Not in Queue,official
https://data.austintexas.gov/d/fb53-k8de,fb53-k8de,true,false,,data.austintexas.gov,dataset,Austin Animal Center FY15 Outcomes *Updated Hourly*,1838,01/14/2015 05:14:00 PM +0000,02/05/2016 09:02:00 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",1276,Austin Animal Center,,Public Domain,published,,,Austin Animal Center,http://austinanimalcenter.org,Animal Services,,,https://data.austintexas.gov/resource/fb53-k8de.json,As Needed,,,,,,,,,,,,,,,,,,,,,p3dk-w2wy,Not in Queue,official
https://data.austintexas.gov/d/paa2-kvza,paa2-kvza,true,false,,data.austintexas.gov,dataset,Resolutions Summary,1490,04/04/2013 04:23:00 PM +0000,04/01/2015 10:33:00 PM +0000,,"resolution,morrison",373,AustinGo,austingoteam@gmail.com,,published,,,,,Mayor & Council,,,https://data.austintexas.gov/resource/paa2-kvza.json,Monthly,,,,,,,,,,,,,,,,,,,,,czye-wfgc,Not in Queue,official
https://data.austintexas.gov/d/87qq-mkwq,87qq-mkwq,true,false,,data.austintexas.gov,dataset,Austin Water Statistics,2455,12/16/2015 08:23:00 PM +0000,05/05/2016 05:01:00 PM +0000,Utility,"water,wastewater,statistics,key facts,gis,customers,capacity",379,Austin Water,,,published,,,Austin Water,http://www.AustinWater.org,Austin Water,,,https://data.austintexas.gov/resource/87qq-mkwq.json,Quarterly,,,,,,,,,,,,,,,,,,,,,dg6c-4vht,Not in Queue,official
